=== image_formats (29 scenes) ===
  0: "なぜ画像形式はこんなにたくさんあるのか"
  1: "「もし画像形式が1種類しかなかったら？」の世界。写真・ロゴ・アニメGIF・透過アイコンが1つの形式に詰め込まれている図"
  2: "写真→ファイルが巨大に / ロゴ→ボヤける / アニメ→対応不可 / 透過→不可能。すべて✗"
  3: "引っ越しの荷造り。大きなダンボール＝無圧縮画像。「畳んで隙間なく詰める」＝可逆圧縮。「着ない服は捨てる」＝非可逆圧縮"
  4: "服をきれいに畳んで隙間なく詰めるアニメーション。「可逆圧縮」のラベル。元に戻せる＝情報を失わない"
  5: "着ない服を思い切って捨てるアニメーション。「非可逆圧縮」のラベル。箱は劇的に小さくなるが、捨てた服は二度と戻らない"
  6: "左：可逆圧縮（畳む＝情報保持、圧縮率低い）。右：非可逆圧縮（捨てる＝情報損失、圧縮率高い）。中央に「トレードオフ」の文字"
  7: "JPEGの圧縮パイプライン：元画像→YCbCr変換→8×8ブロック分割→DCT（波に変換）→量子化（高周波を捨てる）→符号化→JPEGファイル"
  8: "左に低周波の波（ゆっくり＝全体の明暗）、右に高周波の波（細かい＝ディテール）。高周波の方に✗マーク＝「人間の目には見えにくいから捨てる」"
  9: "左：くっきりしたロゴ画像（元画像）。右：JPEG保存後のロゴ（ブロックノイズ・モスキートノイズが目立つ）"
  10: "写真（滑らかなグラデーション）＝高周波成分が少ない→JPEGが得意。ロゴ（くっきりしたエッジ）＝高周波成分が多い→JPEGが苦手"
  11: "JPEG保存→再保存→再々保存……と繰り返すと劣化が蓄積していくアニメーション。世代を重ねるごとに画像がボロボロに"
  12: "「だからPNGが必要だった」"
  13: "1987年：GIF誕生（CompuServe）。モデム速度300〜2400bps。「とにかく軽く」のニーズ"
  14: "モデム速度：300〜2400bps。1枚の写真を送るのに数分〜数十分。256色に絞ることでファイルサイズを劇的削減"
  15: "LZW圧縮の特許を示す鍵のアイコン。Unisys社のロゴ。「特許料を払え」の吹き出し"
  16: "「Burn All GIFs」運動のロゴ。League for Programming Freedomが呼びかけ"
  17: "「PNG誕生──特許フリーの画像形式」1995年"
  18: "2010年：iPhone Flash非対応。GIFアニメの復活。SNS文化でGIFが再ブレイク"
  19: "JPEG・PNG・GIFの3形式。それぞれの得意・不得意を一覧表示。「全部を1つで」が不可能であることを示す"
  20: "動画のフレーム→1枚取り出す→画像。VP8→WebP、AV1→AVIF。「動画コーデックから画像形式が生まれる」パターン"
  21: "WebP：JPEGより25〜34%小さい。AVIF：JPEGより約50%小さい、WebPより20〜30%小さい"
  22: "WebPの制約：8ビット色深度のみ、HDR非対応。AVIFの制約：エンコードが遅い、対応ツールが少ない。JPEG XL論争の紹介"
  23: "JPEG XL(2022)→Chrome削除(2023)→「自社形式優遇」批判→Safari対応→Chromium復帰(2025-2026)"
  24: "画像形式が増え続ける4つの根本原因：①トレードオフの不可避性、②特許・ライセンス問題、③新しい用途の誕生、④企業間の技術覇権争い"
  25: "①トレードオフの不可避性：サイズ↔画質、透過↔複雑さ、速度↔機能性。「万能は原理的に不可能」"
  26: "②特許問題のアイコン。③新用途（HDR、Web速度、SNSアニメ）のアイコン。④企業勢力図（Google、Apple、AOM）"
  27: "最初の直感：「画像形式多すぎ、1つでいいのに」→動画後の理解：「それぞれが異なるトレードオフの最適解。万能は原理的に不可能」"
  28: "「画像形式の多様性は、バグじゃなくてフィーチャー」"
